CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,9.6126e-05,0.9999
717401883,Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue,22,5,2,2,6985.0,1130,5855.0,0.963,1694,44,0.76,0.162,0.00012144,0.99988
788194458,Existing Customer,34,M,3,High School,Married,$60K - $80K,Blue,26,4,3,3,3265.0,2517,748.0,0.952,1843,35,0.944,0.771,0.00030516,0.99969
781794708,Attrited Customer,35,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,29,2,1,3,17030.0,1911,15119.0,0.528,715,25,0.562,0.112,0.99124,0.00876
720267033,Existing Customer,34,M,4,Post-Graduate,Single,$80K - $120K,Blue,26,3,3,2,5100.0,1786,3314.0,1.06,2375,63,0.575,0.35,0.00022196,0.99978
710202783,Existing Customer,33,M,2,Graduate,Married,$60K - $80K,Blue,13,3,3,3,1963.0,1721,242.0,0.68,1378,37,0.762,0.877,0.00030251,0.9997
717998058,Existing Customer,26,M,0,Graduate,Single,Less Than $40K,Blue,13,6,3,2,2585.0,2019,566.0,0.525,2644,40,0.481,0.781,0.00015435,0.99985
779445108,Existing Customer,26,M,0,Graduate,Single,$40K - $60K,Blue,13,6,1,2,3290.0,1616,1674.0,0.466,2781,54,0.35,0.491,4.7263e-05,0.99995
712880283,Existing Customer,31,M,0,Uneducated,Married,$40K - $60K,Blue,22,3,3,0,4048.0,1113,2935.0,0.717,1757,45,0.607,0.275,5.8546e-05,0.99994
753226158,Existing Customer,34,F,2,Graduate,Married,Less Than $40K,Blue,24,6,2,2,3663.0,1853,1810.0,0.963,1826,35,1.059,0.506,0.00011382,0.99989
758317233,Existing Customer,35,F,1,College,Single,Unknown,Blue,28,4,5,2,3518.0,1575,1943.0,0.625,2121,60,0.579,0.448,0.00018334,0.99982
711526533,Existing Customer,33,M,3,Post-Graduate,Married,$80K - $120K,Blue,25,4,2,3,16434.0,2104,14330.0,0.955,1726,37,0.85,0.128,0.00023373,0.99977
714495258,Existing Customer,26,M,0,College,Single,Less Than $40K,Blue,36,4,1,3,1438.3,479,959.3,0.553,1786,37,0.37,0.333,7.7286e-05,0.99992
787621158,Existing Customer,33,M,2,Unknown,Married,$60K - $80K,Blue,25,6,3,3,6242.0,491,5751.0,1.054,2187,59,0.405,0.079,0.00033251,0.99967
719085933,Existing Customer,35,M,3,Graduate,Single,$80K - $120K,Blue,24,4,1,2,23561.0,864,22697.0,1.373,2447,64,1.0,0.037,5.7151e-05,0.99994
710801133,Existing Customer,34,M,2,Uneducated,Married,$60K - $80K,Blue,36,6,1,2,8581.0,2326,6255.0,1.226,2513,63,0.615,0.271,5.663e-05,0.99994
818248383,Existing Customer,33,M,2,Doctorate,Married,$60K - $80K,Blue,28,3,3,3,4049.0,0,4049.0,0.898,1742,35,1.5,0.0,0.00043772,0.99956
772684833,Existing Customer,32,F,1,Unknown,Married,Less Than $40K,Blue,22,3,3,2,2642.0,2035,607.0,1.119,1761,42,0.909,0.77,0.00018558,0.99981
712960308,Existing Customer,33,F,2,High School,Single,Less Than $40K,Blue,36,4,1,1,8070.0,2350,5720.0,1.03,2117,61,0.649,0.291,3.2288e-05,0.99997
756065433,Existing Customer,26,M,0,Unknown,Single,$40K - $60K,Blue,19,5,2,2,2187.0,1597,590.0,0.777,2560,46,0.314,0.73,0.00010736,0.99989
787456608,Existing Customer,29,M,2,High School,Married,$80K - $120K,Blue,15,6,2,2,4158.0,1635,2523.0,0.778,1678,37,0.542,0.393,0.00011065,0.99989
720697908,Existing Customer,35,M,2,High School,Married,$40K - $60K,Blue,21,3,3,1,2967.0,1843,1124.0,0.681,1673,58,0.526,0.621,0.00010545,0.99989
780598383,Existing Customer,35,M,3,Doctorate,Single,$40K - $60K,Blue,23,4,3,2,2148.0,1545,603.0,0.682,2167,65,0.512,0.719,0.00027008,0.99973
754654383,Existing Customer,30,M,2,High School,Married,Less Than $40K,Blue,23,4,2,0,2997.0,1393,1604.0,1.12,1577,35,0.522,0.465,4.0816e-05,0.99996
778799583,Existing Customer,35,F,0,Unknown,Married,Less Than $40K,Blue,24,6,1,1,2592.0,2227,365.0,0.633,1695,48,0.548,0.859,3.1329e-05,0.99997
711748983,Existing Customer,30,M,1,High School,Married,$60K - $80K,Blue,17,3,3,2,7906.0,1631,6275.0,0.889,1946,45,0.552,0.206,0.00016413,0.99984
710492733,Existing Customer,29,M,0,Post-Graduate,Single,$40K - $60K,Blue,19,4,1,2,13632.0,1482,12150.0,0.893,2168,42,2.5,0.109,5.5613e-05,0.99994
714851058,Existing Customer,31,M,0,Graduate,Married,$40K - $60K,Blue,21,3,3,0,2158.0,1729,429.0,1.1,1718,42,0.448,0.801,5.694e-05,0.99994
715942683,Existing Customer,32,F,3,Graduate,Single,Less Than $40K,Blue,36,3,1,3,3555.0,0,3555.0,0.813,2346,71,0.651,0.0,9.6126e-05,0.9999
768921933,Existing Customer,34,M,2,High School,Married,$60K - $80K,Blue,28,3,3,3,2853.0,2420,433.0,0.858,1750,47,0.808,0.848,0.00029408,0.99971
717707133,Existing Customer,32,M,1,Unknown,Single,$40K - $60K,Blue,24,6,2,3,10060.0,2322,7738.0,0.894,2184,63,1.032,0.231,0.00019751,0.9998
719471433,Existing Customer,31,F,0,Graduate,Married,Less Than $40K,Blue,22,3,3,2,2917.0,2127,790.0,1.074,1831,36,1.0,0.729,0.00015435,0.99985
813469458,Existing Customer,26,F,1,Graduate,Single,$40K - $60K,Blue,20,6,3,3,1438.3,673,765.3,0.595,2167,48,0.412,0.468,0.00028395,0.99972
711809283,Existing Customer,31,M,1,Unknown,Married,Less Than $40K,Blue,36,3,3,3,1868.0,1515,353.0,1.359,2229,35,0.667,0.811,0.00031211,0.99969
794340033,Existing Customer,34,F,3,Uneducated,Married,$40K - $60K,Blue,28,5,1,3,2799.0,1762,1037.0,0.986,1817,39,0.56,0.63,9.8837e-05,0.9999
809967783,Existing Customer,34,F,4,Graduate,Single,$40K - $60K,Blue,26,5,5,3,3038.0,1539,1499.0,0.707,2189,54,0.688,0.507,0.00035434,0.99965
779149683,Existing Customer,30,F,0,Graduate,Single,Unknown,Blue,13,5,1,2,7772.0,1890,5882.0,0.754,2585,75,0.829,0.243,4.7263e-05,0.99995
715901508,Existing Customer,35,M,1,High School,Married,$80K - $120K,Blue,25,6,1,2,23991.0,2307,21684.0,0.912,1843,43,0.72,0.096,5.0256e-05,0.99995
708134283,Existing Customer,35,M,2,Uneducated,Married,Less Than $40K,Blue,36,4,3,3,3131.0,629,2502.0,0.749,1483,31,0.632,0.201,0.00031104,0.99969
809342208,Existing Customer,26,M,0,Graduate,Single,Unknown,Blue,19,4,1,2,1438.3,0,1438.3,0.472,2005,47,0.469,0.0,4.7263e-05,0.99995
721397808,Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,24,5,2,0,3735.0,1176,2559.0,1.184,1564,41,0.708,0.315,3.5025e-05,0.99996
709545333,Existing Customer,33,F,4,High School,Single,Unknown,Blue,29,6,2,3,12716.0,1496,11220.0,1.032,2412,64,0.6,0.118,0.00019517,0.9998
717835908,Existing Customer,33,M,2,Post-Graduate,Married,$80K - $120K,Blue,22,3,3,3,1438.3,681,757.3,1.542,2730,48,0.778,0.473,0.00035594,0.99964
708098133,Existing Customer,32,F,0,Graduate,Married,Less Than $40K,Blue,19,6,1,0,2834.0,1418,1416.0,1.458,1598,39,0.773,0.5,1.7434e-05,0.99998
772375533,Existing Customer,30,M,1,Graduate,Married,$80K - $120K,Blue,19,5,3,2,9959.0,2377,7582.0,1.1,1560,39,0.696,0.239,0.00016883,0.99983
709942383,Existing Customer,34,M,1,Graduate,Married,$80K - $120K,Blue,36,5,3,2,6313.0,782,5531.0,0.931,1703,34,0.889,0.124,0.00016883,0.99983
788728608,Existing Customer,34,M,0,High School,Married,$40K - $60K,Blue,13,3,3,2,3870.0,1394,2476.0,0.827,1588,36,0.714,0.36,0.00015005,0.99985
711644508,Existing Customer,34,M,2,Uneducated,Single,$80K - $120K,Blue,36,3,2,0,12182.0,1136,11046.0,0.753,2295,63,0.5,0.093,4.317e-05,0.99996
714131058,Existing Customer,30,M,0,Graduate,Unknown,$60K - $80K,Blue,36,3,5,3,18513.0,2517,15996.0,0.524,1567,33,0.941,0.136,0.00028995,0.99971
710164683,Existing Customer,33,M,1,Graduate,Married,$60K - $80K,Blue,22,3,1,3,2859.0,2517,342.0,1.254,2247,36,0.636,0.88,8.6952e-05,0.99991
715374558,Existing Customer,26,M,0,College,Single,Less Than $40K,Blue,36,5,2,3,4150.0,456,3694.0,1.126,2483,74,0.542,0.11,0.00015971,0.99984
709633533,Existing Customer,31,M,2,Uneducated,Married,Less Than $40K,Blue,18,3,2,4,1438.3,0,1438.3,1.561,2789,50,1.083,0.0,0.00033577,0.99966
716198358,Existing Customer,33,F,4,Post-Graduate,Married,$40K - $60K,Blue,36,4,2,3,2372.0,1887,485.0,0.8,1852,55,0.618,0.796,0.00023623,0.99976
714081558,Existing Customer,33,F,0,Graduate,Married,Unknown,Blue,36,4,2,4,2613.0,1599,1014.0,0.749,1387,31,0.722,0.612,0.00028024,0.99972
718362783,Attrited Customer,35,M,2,Graduate,Married,$80K - $120K,Blue,27,3,2,3,12643.0,0,12643.0,0.393,787,21,0.167,0.0,0.9948,0.0052
714115533,Existing Customer,28,M,0,Graduate,Married,Less Than $40K,Blue,18,5,1,3,2943.0,1789,1154.0,1.271,2591,55,0.897,0.608,7.9494e-05,0.99992
721265883,Existing Customer,26,M,1,Graduate,Single,Less Than $40K,Blue,13,3,3,2,2174.0,1514,660.0,0.607,2510,44,0.294,0.696,0.00016883,0.99983
715394883,Existing Customer,35,F,2,High School,Married,Unknown,Blue,36,3,2,4,4319.0,1151,3168.0,0.594,1852,47,0.424,0.266,0.00031746,0.99968
712120608,Attrited Customer,35,M,3,College,Married,$80K - $120K,Blue,27,3,2,3,3575.0,1884,1691.0,0.384,861,15,1.5,0.527,0.99485,0.00515
715482483,Existing Customer,26,M,0,High School,Single,Unknown,Blue,36,5,2,3,3184.0,1421,1763.0,0.712,2253,59,0.439,0.446,0.0001597,0.99984
709584483,Existing Customer,33,F,3,Graduate,Married,Less Than $40K,Blue,25,4,1,4,3030.0,2517,513.0,0.785,1805,44,0.467,0.831,0.00016399,0.99984
779707308,Existing Customer,35,F,1,Graduate,Married,Less Than $40K,Blue,18,5,1,2,7583.0,1619,5964.0,1.468,2229,53,1.208,0.214,5.1697e-05,0.99995
711848658,Existing Customer,35,M,3,College,Married,$60K - $80K,Blue,17,3,3,2,2259.0,1776,483.0,1.292,1790,31,0.824,0.786,0.00018146,0.99982
821771508,Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,28,5,1,2,3172.0,2055,1117.0,0.663,1939,36,0.636,0.648,4.5946e-05,0.99995
708595158,Existing Customer,27,F,0,Graduate,Single,Less Than $40K,Blue,36,6,1,2,1677.0,1598,79.0,0.994,2389,43,0.536,0.953,4.7263e-05,0.99995
719904333,Existing Customer,29,M,0,Graduate,Married,$40K - $60K,Blue,36,3,3,4,1459.0,590,869.0,1.164,2229,52,1.08,0.404,0.00044282,0.99956
